cat_no,category,sel,column,description,type,scale
1,Admin,x,id,Subject Number within Wave,numeric,
1,Admin,x,idg,Subject Number within Gender,numeric,
1,Admin,x,iid,Unique Subject Number,numeric,
1,Admin,x,order,Order of Date,numeric,
1,Admin,x,partner,Partner's Id Number the Night of the Event,numeric,
1,Admin,x,pid,Partner's IID Number,numeric,
1,Admin,x,round,Round,numeric,
1,Admin,x,wave,Wave,numeric,
0,Dependent,y,dec,Decision by Subject,categorical,
0,Dependent,y,dec_o,Partner Decision,categorical,
0,Dependent,y,match,Match,categorical,
2,Setting,x,condtn,Condition,categorical,
2,Setting,,positin1,Station Number Start,numeric,
2,Setting,,position,Station Number Met,numeric,
3,Demographic,x,age,Age of Subject,numeric,
3,Demographic,d,age_diff,Difference in Age [Subject-Partner],numeric,
3,Demographic,x,age_o,Age of Partner,numeric,
3,Demographic,x,from,From,categorical,
3,Demographic,x,gender,Gender,categorical,
3,Demographic,x,income,Income 1990 Based on Zipcode Subject,numeric,
3,Demographic,d,income_o,Income 1990 Based on Zipcode Partner,numeric,
3,Demographic,d,income_diff,Difference in income (subject-partner),numeric,
3,Demographic,x,race,Race of Subject,categorical,
3,Demographic,x,race_o,Race of Partner,categorical,
3,Demographic,x,zipcode,Zipcode From,categorical,
4,Undergraduate,x,mn_sat,Median SAT for Undergraduate Institution - Subject,numeric,
4,Undergraduate,d,mn_sat_o,Median SAT for Undergraduate Institution - Partner,numeric,
4,Undergraduate,x,tuition,Tuition at Undergraduate Institution - Subject,numeric,
4,Undergraduate,d,tuition_o,Tuition at Undergraduate Institution - Partner,numeric,
4,Undergraduate,x,undergra,Undergraduate Institution Attended,categorical,
4,Undergraduate,d,uni_rank,Undergraduate University Ranked by Pct Median SAT Scores,categorical,
5,Study,x,field,Field of Subject,categorical,
5,Study,x,field_cd,Field Code of Subject,numeric,
5,Study,d,field_cd_o,Field Code of Partner,numeric,
5,Study,d,same_field,Same field indicator,categorical,
5,Study,d,field_label,Field Label for Subject,categorical,
6,Career,x,career,Intended Career,categorical,
6,Career,x,career_c,Intended Career Code,numeric,
6,Career,d,career_c_o,Intended Career Code for Partner,numeric,
6,Career,d,same_career,Same career indicator,categorical,
6,Career,d,career_label,Intended Career,categorical,
7,Interests,x,art,Interest in Art,numeric,
7,Interests,x,clubbing,Interest in Clubbing,numeric,
7,Interests,x,concerts,Interest in Concerts,numeric,
7,Interests,x,dining,Interest in Dining,numeric,
7,Interests,x,exercise,Interest in Exercise,numeric,
7,Interests,x,gaming,Interest in Gaming,numeric,
7,Interests,x,hiking,Interest in Hiking,numeric,
7,Interests,x,movies,Interest in Movies,numeric,
7,Interests,x,museums,Interest in Museums,numeric,
7,Interests,x,music,Interest in Music,numeric,
7,Interests,x,reading,Interest in Reading,numeric,
7,Interests,x,shopping,Interest in Shopping,numeric,
7,Interests,x,sports,Interest in Sports,numeric,
7,Interests,x,theater,Interest in Theater,numeric,
7,Interests,x,tv,Interest in Tv,numeric,
7,Interests,x,tvsports,Interest in TV Sports,numeric,
7,Interests,x,yoga,Interest in Yoga,numeric,
8,Subject Social Life,x,date,Frequency of Dates,numeric,
8,Subject Social Life,d,date_label,Frequency of Dates,categorical,
8,Subject Social Life,x,go_out,Frequency of Going Out,numeric,
8,Subject Social Life,d,go_out_label,Frequency of Going Out,categorical,
9,Subject Goals,x,goal,Goal of Participation,numeric,
9,Subject Goals,d,goal_label,Goal of Participation,categorical,
10,Subject Expectations,x,exphappy,How Happy Do You Expect to Be?,numeric,
10,Subject Expectations,x,expnum,Expected Number of Yeses Out of 20,numeric,
10,Subject Expectations,x,match_es,Number of Estimated Matches Subject Will Get,numeric,
11,Subject Preferences 1,x,amb1_1,How Important is  Ambition to Subject at Signup,numeric,[0-100]
11,Subject Preferences 1,x,attr1_1,How Important is  Attraction to Subject at Signup,numeric,[0-100]
11,Subject Preferences 1,x,fun1_1,How Important is  Funny to Subject at Signup,numeric,[0-100]
11,Subject Preferences 1,x,intel1_1,How Important is  Intelligence to Subject at Signup,numeric,[0-100]
11,Subject Preferences 1,x,shar1_1,How Important is  Shared Interests to Subject at Signup,numeric,[0-100]
11,Subject Preferences 1,x,sinc1_1,How Important is  Sincerity to Subject at Signup,numeric,[0-100]
11,Subject Preferences 1,x,imprace,Importance Same Race,numeric,[1-10]
11,Subject Preferences 1,x,imprelig,Importance Same Religion,numeric,[1-10]
12,Partner Preferences 1,x,pf_o_amb,Partner Preference for Ambition - Time 1,numeric,[0-100]
12,Partner Preferences 1,x,pf_o_att,Partner Preference for Attractive - Time 1,numeric,[0-100]
12,Partner Preferences 1,x,pf_o_fun,Partner Preference for Funny - Time 1,numeric,[0-100]
12,Partner Preferences 1,x,pf_o_int,Partner Preference for Intelligence - Time 1,numeric,[0-100]
12,Partner Preferences 1,x,pf_o_sha,Partner Preference for Shared Interests - Time 1,numeric,[0-100]
12,Partner Preferences 1,x,pf_o_sin,Partner Preference for Sincerity - Time 1,numeric,[0-100]
13,Subject Speculation Others 1,x,amb4_1,How Important is  Ambition to Most Others at Signup,numeric,[1-10]
13,Subject Speculation Others 1,x,attr4_1,How Important is  Attraction to Most Others at Signup,numeric,[1-10]
13,Subject Speculation Others 1,x,fun4_1,How Important is  Funny to Most Others at Signup,numeric,[1-10]
13,Subject Speculation Others 1,x,intel4_1,How Important is  Intelligence to Most Others at Signup,numeric,[1-10]
13,Subject Speculation Others 1,x,shar4_1,How Important is  Shared Interests to Most Others at Signup,numeric,[1-10]
13,Subject Speculation Others 1,x,sinc4_1,How Important is  Sincerity to Most Others at Signup,numeric,[1-10]
14,Subject Speculation Opposite Sex 1,x,amb2_1,How Important is  Ambition to Opposite Sex  at Signup,numeric,mixed
14,Subject Speculation Opposite Sex 1,x,attr2_1,How Important is  Attraction to Opposite Sex  at Signup,numeric,mixed
14,Subject Speculation Opposite Sex 1,x,fun2_1,How Important is  Funny to Opposite Sex  at Signup,numeric,mixed
14,Subject Speculation Opposite Sex 1,x,intel2_1,How Important is  Intelligence to Opposite Sex  at Signup,numeric,mixed
14,Subject Speculation Opposite Sex 1,x,shar2_1,How Important is  Shared Interests to Opposite Sex  at Signup,numeric,mixed
14,Subject Speculation Opposite Sex 1,x,sinc2_1,How Important is  Sincerity to Opposite Sex  at Signup,numeric,mixed
15,Subject Self-Assessment 1,x,amb3_1,How Does Subject Measure Up on Ambition  at Signup,numeric,[1-10]
15,Subject Self-Assessment 1,x,attr3_1,How Does Subject Measure Up on Attraction  at Signup,numeric,[1-10]
15,Subject Self-Assessment 1,x,fun3_1,How Does Subject Measure Up on Intelligence  at Signup,numeric,[1-10]
15,Subject Self-Assessment 1,x,intel3_1,How Does Subject Measure Up on Funny  at Signup,numeric,[1-10]
15,Subject Self-Assessment 1,x,sinc3_1,How Does Subject Measure Up on Sincerity  at Signup,numeric,[1-10]
16,Subject Speculation Perception 1,x,amb5_1,Subject's Opinion on How he/she is Perceived w.r.t.  Ambition,numeric,[1-10]
16,Subject Speculation Perception 1,x,attr5_1,Subject's Opinion on How he/she is Perceived w.r.t.  Attraction,numeric,[1-10]
16,Subject Speculation Perception 1,x,fun5_1,Subject's Opinion on How he/she is Perceived w.r.t.  Funny,numeric,[1-10]
16,Subject Speculation Perception 1,x,intel5_1,Subject's Opinion on How he/she is Perceived w.r.t.  Intelligence,numeric,[1-10]
16,Subject Speculation Perception 1,x,sinc5_1,Subject's Opinion on How he/she is Perceived w.r.t.  Sincerity,numeric,[1-10]
17,Dyad,x,int_corr,Interests Correlation,numeric,
17,Dyad,x,met,Has Subject Met Partner Before,numeric,
17,Dyad,x,met_o,Has Partner met Subject Before,numeric,
17,Dyad,x,samerace,Same Race,categorical,
18,Subject Preferences Halfway,x,amb1_s,How Important is  Ambition to Subject Halfway Through Night,numeric,[1-10]
18,Subject Preferences Halfway,x,attr1_s,How Important is  Attraction to Subject Halfway Through Night,numeric,[1-10]
18,Subject Preferences Halfway,x,fun1_s,How Important is  Funny to Subject Halfway Through Night,numeric,[1-10]
